Date,Hour,LocationName,Count,WeekDay,WeekNum,Month,Year
10/07/2008,05:00,"Briggate at McDonalds	",23,Thursday,28,July,2008
10/07/2008,06:00,"Briggate at McDonalds	",105,Thursday,28,July,2008
10/07/2008,07:00,"Briggate at McDonalds	",311,Thursday,28,July,2008
10/07/2008,08:00,"Briggate at McDonalds	",613,Thursday,28,July,2008
10/07/2008,09:00,"Briggate at McDonalds	",706,Thursday,28,July,2008
10/07/2008,10:00,"Briggate at McDonalds	",1273,Thursday,28,July,2008
10/07/2008,11:00,"Briggate at McDonalds	",1567,Thursday,28,July,2008
10/07/2008,12:00,"Briggate at McDonalds	",2043,Thursday,28,July,2008
10/07/2008,13:00,"Briggate at McDonalds	",2028,Thursday,28,July,2008
10/07/2008,14:00,"Briggate at McDonalds	",1597,Thursday,28,July,2008
10/07/2008,15:00,"Briggate at McDonalds	",1426,Thursday,28,July,2008
10/07/2008,16:00,"Briggate at McDonalds	",1739,Thursday,28,July,2008
10/07/2008,17:00,"Briggate at McDonalds	",1473,Thursday,28,July,2008
10/07/2008,18:00,"Briggate at McDonalds	",1012,Thursday,28,July,2008
10/07/2008,19:00,"Briggate at McDonalds	",581,Thursday,28,July,2008
10/07/2008,20:00,"Briggate at McDonalds	",245,Thursday,28,July,2008
10/07/2008,21:00,"Briggate at McDonalds	",205,Thursday,28,July,2008
10/07/2008,22:00,"Briggate at McDonalds	",285,Thursday,28,July,2008
10/07/2008,23:00,"Briggate at McDonalds	",195,Thursday,28,July,2008
11/07/2008,00:00,"Briggate at McDonalds	",108,Friday,28,July,2008
11/07/2008,01:00,"Briggate at McDonalds	",95,Friday,28,July,2008
11/07/2008,02:00,"Briggate at McDonalds	",102,Friday,28,July,2008
11/07/2008,03:00,"Briggate at McDonalds	",51,Friday,28,July,2008
11/07/2008,04:00,"Briggate at McDonalds	",72,Friday,28,July,2008
11/07/2008,05:00,"Briggate at McDonalds	",97,Friday,28,July,2008
11/07/2008,06:00,"Briggate at McDonalds	",158,Friday,28,July,2008
11/07/2008,07:00,"Briggate at McDonalds	",289,Friday,28,July,2008
11/07/2008,08:00,"Briggate at McDonalds	",569,Friday,28,July,2008
11/07/2008,09:00,"Briggate at McDonalds	",662,Friday,28,July,2008
11/07/2008,10:00,"Briggate at McDonalds	",831,Friday,28,July,2008
11/07/2008,11:00,"Briggate at McDonalds	",1032,Friday,28,July,2008
11/07/2008,12:00,"Briggate at McDonalds	",1398,Friday,28,July,2008
11/07/2008,13:00,"Briggate at McDonalds	",1387,Friday,28,July,2008
11/07/2008,14:00,"Briggate at McDonalds	",1240,Friday,28,July,2008
11/07/2008,15:00,"Briggate at McDonalds	",1291,Friday,28,July,2008
11/07/2008,16:00,"Briggate at McDonalds	",1399,Friday,28,July,2008
11/07/2008,17:00,"Briggate at McDonalds	",1348,Friday,28,July,2008
11/07/2008,18:00,"Briggate at McDonalds	",830,Friday,28,July,2008
11/07/2008,19:00,"Briggate at McDonalds	",410,Friday,28,July,2008
11/07/2008,20:00,"Briggate at McDonalds	",361,Friday,28,July,2008
11/07/2008,21:00,"Briggate at McDonalds	",296,Friday,28,July,2008
11/07/2008,22:00,"Briggate at McDonalds	",239,Friday,28,July,2008
11/07/2008,23:00,"Briggate at McDonalds	",217,Friday,28,July,2008
